[HEADER]
Format	J&M ASCII Table
Comment	COA_01_P.00033_HAL03-noFilter_UVIR600um2-UV400um0.5_23mm
Date	01/08/2024 09:26:48
Order	Y (evenX)
TechType	UV
NumPoints	841
FirstX	304
LastX	1144
XType	nm
YType	Transmission
ZType	s
NumSubFile	61
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=120.00
Aver=20
Norm=1
Range=304.0-1144.0 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:23.840	00:00:47.657	00:01:11.468	00:01:35.257	00:01:59.081	00:02:22.886	00:02:46.685	00:03:10.478	00:03:34.309	00:03:58.112	00:04:21.915	00:04:45.709	00:05:09.537	00:05:33.349	00:05:57.148	00:06:20.943	00:06:44.748	00:07:08.547	00:07:32.343	00:07:56.141	00:08:19.940	00:08:43.748	00:09:07.541	00:09:31.341	00:09:55.133	00:10:18.930	00:10:42.725	00:11:06.527	00:11:30.318	00:11:54.117	00:12:17.924	00:12:41.719	00:13:05.513	00:13:29.308	00:13:53.114	00:14:16.909	00:14:40.707	00:15:04.501	00:15:28.298	00:15:52.093	00:16:15.888	00:16:39.686	00:17:03.477	00:17:27.270	00:17:51.066	00:18:14.867	00:18:38.667	00:19:02.455	00:19:26.252	00:19:50.049	00:20:13.843	00:20:37.641	00:21:01.440	00:21:25.242	00:21:49.040	00:22:12.840	00:22:36.640	00:23:00.435	00:23:24.231	00:23:48.025
326	41.270206	52.349716	39.621822	45.897072	49.772343	59.573269	41.526112	41.838047	60.487526	37.556206	37.519932	54.962944	43.791111	35.803051	50.503765	59.792431	41.909752	52.277149	59.061031	49.879398	37.557598	35.071651	56.921005	49.934978	48.932079	53.174389	37.264946	46.260509	39.330978	43.516819	38.617023	36.352501	48.362843	54.051899	47.449951	58.839111	44.049725	56.226357	44.980526	42.990746	47.979206	38.508156	52.039154	48.984894	36.295082	55.439831	34.741306	46.223763	46.719452	48.96743	49.590874	46.096031	44.963535	42.62368	55.496777	56.426685	47.139389	35.910107	35.197987	40.446014	32.767624
327	41.176926	52.309387	39.829563	45.614223	49.550079	59.176804	41.393791	41.484543	60.010422	37.660904	37.745533	55.148643	44.033104	35.436852	50.396053	59.476723	41.801384	51.989449	58.796902	50.18531	37.49942	34.840115	56.957405	50.057644	48.736507	52.753864	37.17181	46.274044	39.212807	43.770073	38.576027	36.049042	48.461151	53.58749	47.299915	58.967602	43.917759	56.056095	45.049755	42.611938	48.062809	38.377632	51.974075	48.950272	36.391994	55.4132	34.850891	46.292515	46.466293	48.814907	49.308651	46.046406	44.823666	42.281227	55.004055	56.520599	46.881554	36.090553	35.220016	40.217133	32.663784
328	41.632839	52.265167	39.544563	45.984112	49.434128	58.689083	41.684238	41.773758	59.294861	37.431805	38.030182	54.877029	44.044598	35.101807	50.621151	59.066338	41.950909	51.543011	58.531059	50.060921	37.597672	34.892387	57.176666	49.82655	49.173336	52.676666	37.111794	46.174461	38.990185	43.812164	38.0909	36.437538	48.359634	53.282417	47.268028	58.401402	44.391464	55.77243	45.101933	43.265598	48.129196	38.111938	52.015633	48.679642	36.45076	55.381977	35.201107	46.246902	46.662277	48.681606	49.819176	45.814365	45.014351	42.234688	54.842766	56.528862	46.692635	35.801014	35.050411	39.466305	33.015938
329	42.076778	52.222107	39.267033	46.344299	49.321186	58.214176	41.967045	42.055393	58.598061	37.208714	38.307396	54.612534	44.055759	34.77552	50.840317	58.666718	42.096489	51.108242	58.272152	49.93977	37.693317	34.943256	57.390182	49.60149	49.598682	52.601456	37.053383	46.077511	38.773422	43.853127	37.618458	36.815853	48.260799	52.98534	47.23698	57.85001	44.852757	55.496204	45.15274	43.9021	48.193813	37.853184	52.056068	48.41613	36.507965	55.351551	35.542152	46.20245	46.853123	48.551781	50.316315	45.588402	45.200043	42.189339	54.685696	56.536907	46.50864	35.519039	34.885277	38.735153	33.358864
330	42.467888	52.156532	38.987576	46.65625	49.186192	57.761765	42.194386	42.298489	57.935398	36.965931	38.535381	54.355221	44.054214	34.466316	51.013988	58.261616	42.204506	50.693684	58.009171	49.780849	37.757816	34.979641	57.563709	49.368267	49.980606	52.503807	36.977726	45.965054	38.572441	43.854462	37.148834	37.167366	48.156158	52.692623	47.190636	57.289333	45.264622	55.226768	45.185791	44.484528	48.230759	37.595974	52.061699	48.133396	36.542355	55.317368	35.847832	46.130283	47.01194	48.417892	50.7649	45.34766	45.34766	42.134937	54.511154	56.526917	46.324978	35.237968	34.71032	38.039761	33.681168
331	41.606094	51.380878	38.439541	45.789917	48.301296	57.626225	40.967781	41.595154	57.7724	35.96109	37.492809	54.113667	43.678635	34.423084	49.984711	57.388763	41.292236	50.557621	57.426376	48.393768	36.956768	34.618202	56.695957	48.717857	49.378109	51.673199	36.339619	45.313419	38.682495	42.694271	36.404659	36.999504	47.802864	52.306046	46.661015	56.030579	44.539528	54.952602	44.723312	43.922356	47.483902	37.189178	51.050926	47.072842	35.933659	55.147381	35.349018	45.189209	46.352623	48.062679	50.130463	44.490929	44.490929	41.773437	53.692013	55.981236	46.011333	34.769848	34.115067	37.865494	33.643696
332	40.75687	50.616486	37.899475	44.936222	47.42931	57.492645	39.759026	40.902031	57.611752	34.970879	36.465439	53.875626	43.308487	34.380447	48.970387	56.528618	40.393246	50.423496	56.852074	47.026882	36.167404	34.262047	55.840851	48.076908	48.784401	50.854675	35.7108	44.671268	38.790936	41.550995	35.671314	36.834076	47.454704	51.925087	46.139095	54.790169	43.824963	54.682446	44.267529	43.368385	46.747894	36.788269	50.054859	46.027699	35.33382	54.979824	34.85746	44.261837	45.702904	47.712627	49.505249	43.64669	43.64669	41.417194	52.884811	55.443459	45.702221	34.308537	33.528473	37.693764	33.606735
333	39.919884	49.863155	37.367203	44.09483	46.569889	57.361008	38.567715	40.218941	57.453388	33.994968	35.452911	53.641003	42.943676	34.338436	47.970715	55.680889	39.507263	50.291298	56.286068	45.679745	35.389412	33.910995	54.9981	47.445236	48.199238	50.047977	35.091057	44.038383	38.897793	40.42421	34.948586	36.671024	47.111591	51.549648	45.62471	53.567661	43.120739	54.416157	43.818325	42.82238	46.022533	36.393143	49.073158	44.997684	34.742615	54.814686	34.372997	43.347885	45.062561	47.367649	48.889065	42.814621	42.814621	41.066055	52.089245	54.913448	45.397591	33.853878	32.950321	37.524498	33.570316
334	40.02272	49.708862	37.241997	43.748905	46.678017	56.801598	38.551266	40.119072	57.461021	34.598904	35.439648	53.237579	42.606567	34.577351	47.694084	55.446243	39.22987	49.743004	55.954266	45.59132	35.124306	33.978359	54.845451	47.38353	47.790436	49.395321	35.019585	43.897293	38.81815	40.370377	35.129066	36.484451	46.796513	51.054073	45.370556	53.363823	42.895004	54.015499	43.487404	42.753181	45.912071	36.239708	48.568352	44.75959	34.793385	54.604317	34.567181	43.23069	45.05817	47.012543	48.483974	42.68737	42.353458	40.880226	51.772713	54.567211	45.257439	34.060963	33.040108	37.736271	33.46558
335	40.465851	49.775623	37.26738	43.589928	47.136395	56.097	38.962925	40.233456	57.528938	35.766739	35.790504	52.780312	42.285919	34.914101	47.685951	55.439262	39.179306	49.053505	55.714035	45.962906	35.050922	34.196835	54.946976	47.530521	47.45356	48.811096	35.149086	43.93795	38.672142	40.708286	35.635075	36.292835	46.49757	50.524075	45.2159	53.534786	42.847752	53.573425	43.205814	42.85891	46.027618	36.177212	48.246643	44.81435	35.076977	54.381432	35.004841	43.405876	45.285446	46.660446	48.163349	42.819134	42.036037	40.758106	51.636589	54.294403	45.179836	34.5051	33.371391	38.082809	33.337917
