[HEADER]
Format	J&M ASCII Table
Comment	COA_09_P.00037_HAL03-noFilter_UVIR600um2-UV400um0.5_23mm
Date	02/08/2024 12:19:50
Order	Y (evenX)
TechType	UV
NumPoints	841
FirstX	304
LastX	1144
XType	nm
YType	Transmission
ZType	s
NumSubFile	61
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=124.00
Aver=20
Norm=1
Range=304.0-1144.0 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:23.822	00:00:47.617	00:01:11.618	00:01:35.418	00:01:59.426	00:02:23.428	00:02:47.231	00:03:11.226	00:03:35.220	00:03:59.018	00:04:23.013	00:04:47.008	00:05:10.811	00:05:34.804	00:05:58.795	00:06:22.790	00:06:46.783	00:07:10.784	00:07:34.777	00:07:58.768	00:08:22.767	00:08:46.759	00:09:10.752	00:09:34.748	00:09:58.748	00:10:22.746	00:10:46.546	00:11:10.543	00:11:34.542	00:11:58.542	00:12:22.529	00:12:46.532	00:13:10.530	00:13:34.521	00:13:58.514	00:14:22.512	00:14:46.509	00:15:10.510	00:15:34.505	00:15:58.495	00:16:22.493	00:16:46.294	00:17:10.287	00:17:34.089	00:17:58.084	00:18:22.078	00:18:46.075	00:19:10.073	00:19:34.069	00:19:57.872	00:20:21.866	00:20:45.864	00:21:09.854	00:21:33.850	00:21:57.857	00:22:21.856	00:22:45.852	00:23:09.845	00:23:33.842	00:23:57.836
324	24.890091	27.07308	27.340429	27.085873	27.59499	25.33885	25.873434	27.120853	26.363499	27.773174	25.793901	26.455736	25.593409	25.590187	27.757311	27.022202	27.260866	24.937986	25.736645	26.999928	26.258436	26.124805	24.651546	26.398569	24.864744	26.369879	25.962513	26.252144	25.529739	26.096233	26.443031	25.778008	25.717556	27.139967	27.916531	24.298338	25.132067	25.357965	24.718409	26.802624	24.419264	26.366779	24.979259	26.812229	26.85672	25.24342	25.151152	25.727161	23.871885	25.214821	26.519495	23.897383	23.655499	23.98333	24.603743	24.708805	24.925312	24.47014	24.629269	24.533691	23.789099
325	25.865259	27.432266	27.194754	26.854668	27.53487	25.62998	26.069721	27.095839	26.701523	27.68144	26.020638	27.087807	25.970062	26.114433	27.48867	26.998352	27.145668	24.614094	25.875494	27.094381	26.892836	26.554207	24.803205	26.027924	25.190948	26.412722	26.600405	26.266867	26.113718	26.024267	26.750637	25.827837	25.827122	27.144211	26.672131	24.365633	24.953436	25.678349	24.51515	26.89941	24.367121	25.642384	25.481207	26.466211	27.188925	25.388092	25.001835	25.393953	24.504917	24.858181	26.029385	24.264519	24.261602	24.024834	25.139633	24.948349	24.276924	24.801033	24.899235	25.572119	24.600203
326	26.817667	27.783035	27.052498	26.628853	27.476114	25.914305	26.261389	27.071371	27.031681	27.59181	26.242044	27.70512	26.337893	26.62644	27.22629	26.975023	27.033121	24.297752	26.011124	27.186596	27.512424	26.973585	24.951347	25.66592	25.509565	26.454588	27.223408	26.281267	26.684067	25.95397	27.051056	25.876526	25.93412	27.148346	25.456758	24.431381	24.778996	25.99128	24.316628	26.9939	24.316158	24.934855	25.971434	26.12826	27.513393	25.529411	24.85597	25.068512	25.123199	24.509825	25.550695	24.62311	24.853559	24.065363	25.663012	25.182299	23.643688	25.124199	25.16292	26.586277	25.392372
327	27.214325	27.78672	26.795561	26.279758	27.389002	26.179552	26.281389	26.861849	27.091465	27.494102	26.281389	27.940351	26.355747	26.921707	26.861849	26.795561	27.009016	24.185879	25.927284	27.03327	27.749542	27.188501	25.071939	25.278875	25.652426	26.328262	27.44397	26.224821	26.929771	26.008162	27.101189	25.765593	25.909498	26.821411	24.612736	24.305504	24.603041	26.012997	24.155163	26.842461	24.163227	24.470459	26.26363	25.891708	27.471453	25.479408	24.543184	24.968498	25.248161	24.037109	25.029902	24.784155	25.068707	24.011227	25.851271	25.067076	23.288492	25.096189	25.193224	26.965347	25.668556
328	26.55485	27.123632	26.310858	25.683552	27.244818	26.415989	25.972065	26.290638	26.633566	27.377951	25.972065	27.448425	25.701693	26.809172	26.290638	26.310858	27.154154	24.463596	25.419369	26.40358	27.25882	27.016884	25.143236	24.832449	25.461838	25.87521	26.897779	26.030592	26.558987	26.303047	26.671928	25.344759	25.63122	25.848827	24.457405	23.807823	24.419075	25.47584	24.060089	26.214005	23.809906	24.459461	26.183945	25.843069	26.724232	25.060383	23.900572	25.298647	24.42894	23.311567	24.412884	24.570347	24.56621	23.77363	25.401228	24.277697	23.457111	24.392662	24.776005	26.135286	24.961445
329	25.903601	26.468817	25.832191	25.094805	27.102423	26.649439	25.666601	25.726599	26.181421	27.263239	25.666601	26.96262	25.055794	26.698023	25.726599	25.832191	27.297449	24.737783	24.917774	25.781796	26.774206	26.847425	25.213591	24.391569	25.273615	25.427792	26.358423	25.8388	26.192804	26.594213	26.248001	24.929186	25.356411	24.888393	24.304005	23.316338	24.237394	24.9454	23.966187	25.593409	23.460968	24.448576	26.105209	25.794992	25.986395	24.646564	23.26597	25.62463	23.619944	22.595135	23.803587	24.3592	24.069967	23.538961	24.956785	23.498167	23.623566	23.697966	24.363972	25.315588	24.263182
330	25.280323	25.839161	25.384775	24.545177	26.959547	26.850584	25.357639	25.203896	25.731113	27.141285	25.378433	26.484367	24.452467	26.588789	25.186729	25.35944	27.426586	24.98057	24.433502	25.197584	26.29446	26.693211	25.304716	23.979088	25.082308	24.994139	25.840075	25.661907	25.840961	26.862324	25.852728	24.522558	25.084108	23.986313	24.172621	22.854189	24.050091	24.439816	23.884605	25.001366	23.126837	24.428961	26.003759	25.750076	25.2749	24.261675	22.673365	25.931845	22.840622	21.92371	23.234001	24.135548	23.600218	23.298635	24.529812	22.758821	23.785582	23.036869	23.964634	24.54335	23.587564
331	25.262436	25.729713	25.70048	24.95639	26.750702	26.168575	24.836079	25.717604	25.176426	26.76236	25.498808	26.058769	24.892912	26.496786	25.170145	24.893728	27.183283	24.380516	24.287832	25.515902	25.787756	26.93483	26.040405	24.258598	24.73213	24.812731	25.758522	25.86208	25.787336	26.54314	26.1619	24.236042	24.789751	24.489113	24.64488	23.093559	23.630568	24.489506	24.137499	25.043217	23.111103	24.143751	25.193972	25.781504	25.089571	24.593061	23.11071	25.793192	22.661371	22.343582	23.635582	23.463533	23.745417	22.805847	24.466553	22.943676	23.872345	23.134058	23.797602	24.898741	23.342012
332	25.245073	25.623285	26.007526	25.356283	26.547586	25.505356	24.328913	26.217175	24.637022	26.393879	25.615845	25.644896	25.321203	26.407349	25.154055	24.440817	26.946714	23.796991	24.146179	25.825489	25.294987	27.169804	26.755816	24.53042	24.3916	24.636299	25.679224	26.056746	25.735193	26.232756	26.462593	23.95742	24.503508	24.978043	25.104115	23.326344	23.222603	24.537836	24.383434	25.083923	23.09581	23.866402	24.40646	25.812044	24.909328	24.915356	23.536018	25.658339	22.487036	22.751926	24.026136	22.810005	23.886595	22.326607	24.405045	23.123419	23.956726	23.228601	23.635145	25.244352	23.103228
333	25.228155	25.519749	26.306206	25.745317	26.350016	24.860147	23.835495	26.703146	24.112268	26.035404	25.729729	25.242266	25.737894	26.320345	25.138372	24.000212	26.716541	23.229319	24.008375	26.126667	24.815626	27.398392	27.451818	24.794859	24.060322	24.464687	25.602108	26.246122	25.684467	25.930801	26.755091	23.686369	24.225012	25.453695	25.550901	23.552805	22.825693	24.584854	24.622717	25.123524	23.080931	23.596586	23.640369	25.841757	24.734009	25.228897	23.949772	25.527149	22.317463	23.149153	24.406055	22.174253	24.023966	21.860413	24.345232	23.298307	24.038815	23.320581	23.477131	25.580574	22.870955
